Date,Open,High,Low,Close,Adj Close,Volume
2022-06-27,60.272499,61.182499,58.147499,59.480000,59.480000,623160
2022-07-04,59.580002,61.857498,59.287498,61.645000,61.645000,549083
2022-07-11,61.137501,61.832500,59.860001,61.544998,61.544998,570884
2022-07-18,61.892502,63.467499,60.167500,62.584999,62.584999,530796
2022-07-25,62.619999,64.610001,61.857498,63.812500,63.812500,669644
2022-08-01,64.047501,65.382500,63.357498,64.807503,64.807503,581867
2022-08-08,65.222504,66.467499,64.472504,66.410004,66.410004,1335077
2022-08-15,66.872498,68.442497,66.504997,67.959999,67.959999,963061
2022-08-22,67.502502,67.699997,65.984367,66.257500,66.257500,875386
2022-08-29,66.257500,66.257500,64.154999,65.800003,65.800003,505825
2022-09-05,65.180000,66.662498,64.114998,66.562500,66.562500,452955
2022-09-12,66.392502,67.362503,63.750000,63.882500,63.882500,704240
2022-09-19,63.882500,65.300003,62.982498,63.937500,63.937500,484560
2022-09-26,64.997498,65.570000,61.747501,62.285000,62.285000,824796
2022-10-03,60.840000,64.035004,60.430000,62.542500,62.542500,812013
2022-10-10,61.987499,63.000000,59.040001,61.264999,61.264999,892473
2022-10-17,60.869999,62.997501,60.634998,62.587502,62.587502,813745
2022-10-24,62.814999,63.985001,62.014999,63.185001,63.185001,485776
2022-10-31,63.762501,65.000000,62.407501,62.700001,62.700001,731354
2022-11-07,62.939999,64.489998,62.099998,63.762501,63.762501,726371
2022-11-14,64.097504,64.665001,62.827499,63.057499,63.057499,743446
2022-11-21,63.427502,64.282501,63.107498,63.197498,63.197498,862571
2022-11-28,63.060001,64.245003,62.459999,62.757500,62.757500,1275063
2022-12-05,62.700001,62.997501,60.970001,61.294998,61.294998,992669
2022-12-12,60.974998,63.650002,59.747501,59.952499,59.952499,622938
2022-12-19,59.935001,60.970001,58.957500,60.156250,60.156250,737281
2022-12-26,60.156250,61.188889,59.599998,60.212502,60.212502,357937
2023-01-02,60.212502,61.787498,60.125000,60.892502,60.892502,626126
2023-01-09,60.884998,63.000000,60.450001,61.680000,61.680000,1611713
2023-01-16,61.965000,62.205002,59.645000,60.264999,60.264999,1580968
2023-01-23,60.660000,62.417500,60.587502,62.255001,62.255001,649222
2023-01-30,62.032501,65.617500,61.514999,65.617500,65.617500,813074
2023-02-06,64.845001,65.370003,63.500000,64.082497,64.082497,787808
2023-02-13,64.222504,65.519997,63.855000,64.132500,64.132500,1440893
2023-02-20,64.000000,64.512497,62.599998,62.910000,62.910000,865179
2023-02-27,63.167500,63.720001,62.177502,63.692501,63.692501,1148613
2023-03-06,63.917500,64.400002,61.025002,61.957500,61.957500,931131
2023-03-13,61.514999,62.419998,59.807499,61.072498,61.072498,1117397
2023-03-20,60.542500,62.121700,60.166199,61.102501,61.102501,1018259
2023-03-27,61.772499,62.555000,60.869999,62.490002,62.490002,1320416
2023-04-03,63.167500,63.280350,61.985001,62.250000,62.250000,1291235
2023-04-10,62.250000,63.357498,62.000000,63.012501,63.012501,1143211
2023-04-17,63.285000,63.632500,62.750000,63.042500,63.042500,801621
2023-04-24,62.812500,63.119999,61.682499,62.542500,62.542500,1120975
2023-05-01,62.542500,63.349998,60.947498,61.892502,61.892502,916891
2023-05-08,61.892502,62.922501,61.702499,62.662498,62.662498,603940
2023-05-15,62.977501,64.379997,62.325001,63.775002,63.775002,811349
2023-05-22,63.942501,64.699997,63.014999,64.550003,64.550003,760878
2023-05-29,64.550003,65.142502,63.317501,65.092499,65.092499,815900
2023-06-05,65.489998,65.875000,64.442497,64.934998,64.934998,687189
2023-06-12,65.167503,65.980003,64.962502,65.368752,65.368752,944070
2023-06-19,65.150002,65.519997,64.150002,64.801247,64.801247,518057
2023-06-26,64.817497,65.032501,64.462502,64.672501,64.672501,208181
2023-06-27,64.522499,64.647499,64.422501,64.605003,64.605003,94423
